Empresas com Registro no SND (*)- Gerado em 20/07/2016 17:45:40																																																																																										
																																																																																										
Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
AARJ11    	AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A	'ÚNI	'001	ND	Registrado	BRAARJDBS002	DISPENSA ICVM 476/09	15/01/2015			08/12/2014	08/12/2021	 - - - - - - 		08/12/2014	16/01/2015	-	AGE	21/11/2014	RCA	21/11/2014	Escritural	Real	Simples	500	0,	0,	500	0	0	0,	0,	0	0,	0	R$	100.000,000000	R$	100.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			47,619	3	MES	08/12/2016	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	30,000	252	3	MES	08/03/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA	ITAU CV S/A	BANCO SANTANDER BRASIL S.A.	1.96247E+13	N	 n 	
ABEN11    	ABENGOA CONCESSOES BRASIL HOLDING S/A	'ÚNI	'001	ND	Excluído	BRABNGDBS005	DISPENSA ICVM 476/09	16/05/2013			17/05/2013	17/05/2018	RESGATE TOTAL ANTECIPADO		17/05/2013	17/05/2013	-	AGE	08/04/2013			Escritural	Quirografária	Simples	7.5	0,	0,	0	0	7.5	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	10/10/2014	DI	Integrante de Juros	Padrão - SND		-		100,00	0,000	-			200,000	6	MES	17/05/2016	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	30,000	252	6	MES	17/11/2013	Útil	Exponencial	0,0000	0,	0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU CV S/A	BB BCO DE INVESTIMENTO S/A	7.87241E+12	N	 n 	
ABEN12    	ABENGOA CONCESSOES BRASIL HOLDING S/A	'ÚNI	'002	ND	Excluído	BRABNGDBS013	DISPENSA ICVM 476/09	03/12/2013			02/12/2013	02/12/2016	RESGATE TOTAL ANTECIPADO		02/12/2013	04/12/2013	-	AGE	18/11/2013			Escritural	Quirografária	Simples	7.5	0,	0,	0	0	7.5	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	08/10/2014	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	6	MES	02/06/2015	-	Percentual variável sobre o valor nominal de emissão em períodos uniformes	42,000	252	6	MES	02/06/2014	Útil	Exponencial	0,0000	0,	0,	-	-	-	-	-	0,	-	-	-							BANCO CITIBANK S/A	OLIVEIRA TRUST DTVM SA	BANCO CITIBANK S/A	BES INVESTIMENTO DO BRASIL S/A - BCO DE INVESTIMENTO	7.87241E+12	N	 n 	
ABEV11    	AMBEV S.A	'ÚNI	'001	ND	Registrado	BRABEVDBS003	DISPENSA ICVM 476/09	30/10/2015			30/10/2015	30/10/2021	 - - - - - - 		03/11/2015	30/10/2015	-	RCA	28/08/2015	RCA	14/10/2015	Escritural	Quirografária	Simples	1	0,	0,	1	0	0	0,	0,	0	0,	0	R$	1.000.000,000000	R$	1.000.000,000000	20/07/2016	PRÉ	  - 	Padrão - SND		-		0,00	0,000	-			-	-	-	-	-	-	144,760	252	12	MES	30/10/2016	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	SIMPLIFIC PAVARINI DTVM LTDA	ITAU CV S/A	BANCO ITAU-BBA S/A	7.52656E+12	S	 n 	
ABMX11    	ABIMEX IMPORTACAO E EXPORTACAO S/A	'ÚNI	'001	ND	Registrado	BRABMXDBS002	DISPENSA ICVM 476/09	11/04/2012			10/04/2012	10/04/2018	 - - - - - - 		12/04/2012	-	-	AGE	16/03/2012			Escritural	Quirografária	Simples	60	0,	0,	60	0	0	0,	0,	0	0,	0	R$	1.000.000,000000	R$	350.000,000000	20/07/2016	DI	Integrante de Juros	Padrão - SND		-	   	100,00	0,000	-			50,000	3	MES	10/07/2013	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	13,000	252	1	MES	10/05/2012	Útil	Exponencial	0,0000	0	0,	0 0	-	-	-	0,0000	0	-	-	-							BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	7.12135E+12	N	 n 	
ACDL11    	ASCENTY DATA CENTERS LOCACAO E SERVICOS S.A	'ÚNI	'001	ND	Excluído	BRASCYDBS005	DISPENSA ICVM 476/09	30/10/2013			15/10/2013	15/10/2018	RESGATE TOTAL ANTECIPADO		31/10/2013	31/10/2013	-	AGE	15/10/2013			Escritural	Quirografária	Simples	20	0,	0,	0	0	20	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	26/09/2014	DI	  - 	Padrão - SND		-		100,00	0,000	-			333,300	12	MES	15/10/2016	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	39,500	252	6	MES	15/04/2014	Útil	Exponencial	0,0000	0,	0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	ITAU UNIBANCO S.A.	1.37436E+13	N	 n 	
ACDL12    	ASCENTY DATA CENTERS LOCACAO E SERVICOS S.A	'ÚNI	'002	ND	Registrado	BRASCYDBS013	DISPENSA ICVM 476/09	25/09/2014			22/09/2014	22/09/2019	 - - - - - - 		26/09/2014	26/09/2014	-	AGE	08/09/2014			Escritural	Quirografária	Simples	35	0,	0,	35	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			333,300	12	MES	22/09/2017	-	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	39,500	252	6	MES	22/03/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BANCO ITAU-BBA S/A	1.37436E+13	N	 n 	
ACEC11    	ACECO TI S/A	'ÚNI	'001	ND	Excluído	BRACECDBS001	DISPENSA ICVM 476/09	14/11/2013			11/11/2013	11/11/2016	RESGATE TOTAL ANTECIPADO		11/11/2013	18/11/2013	-	AGE	04/11/2013			Escritural	Quirografária	Simples	50	0,	0,	0	0	50	0,	0,	0	0,	0	R$	1.000.000,000000	R$	1.000.000,000000	27/06/2014	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	-	-	-	-	-	18,000	252	3	MES	11/02/2014	Útil	Exponencial	0,0000	0,	0,	-	-	-	-	-	0,	-	-	-							ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU CV S/A	BANCO SANTANDER BRASIL S.A.	4.32094E+13	N	 n 	
ACEC14    	ACECO TI S/A	'ÚNI	'004	ND	Registrado	BRACECDBS019	DISPENSA ICVM 476/09	26/06/2014			23/06/2014	23/06/2021	 - - - - - - 		27/06/2014	27/06/2014	-	AGE	09/06/2014			Escritural	Real	Simples	22	0,	0,	22	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	-	-	-	-	Percentual variável sobre o valor nominal de emissão em períodos não uniformes	22,500	252	12	MES	23/06/2015	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							BANCO BRADESCO S/A	OLIVEIRA TRUST DTVM SA	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	4.32094E+13	N	 n 	
ACEC15    	ACECO TI S/A	'ÚNI	'005	ND	Registrado	BRACECDBS027	DISPENSA ICVM 476/09	22/06/2015			23/06/2015	22/07/2016	 - - - - - - 		23/06/2015	23/06/2015	-	AGE	15/06/2015			Escritural	Real	Simples	3.15	0,	0,	3.15	0	0	0,	0,	0	0,	0	R$	10.000,000000	R$	10.000,000000	20/07/2016	DI	  - 	Padrão - SND		-		100,00	0,000	-			-	-	-	-	-	-	22,500	252	0,	-	22/07/2016	Útil	Exponencial	0,0000		0,	-	-	-	-	-	0,	-	-	-							BANCO BRADESCO S/A	OLIVEIRA TRUST DTVM SA	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	4.32094E+13	N	 n 	
