Código do Ativo;Empresa;Série;Emissão;IPO;Situação;ISIN;Registro CVM da Emissão;Data de Registro CVM da Emissão;Registro CVM do Programa;Data de Registro CVM do Programa;Data de Emissão; Data de Vencimento;Motivo de Saída ;Data de Saída / Novo Vencimento; Data do Início da Rentabilidade;Data do Início da Distribuição;Data da Próxima Repactuação;Ato Societário (1);Data do Ato (1);Ato Societário (2);Data do Ato (2);Forma;Garantia/Espécie;Classe;Quantidade Emitida;Artigo 14º;Artigo 24º;Quantidade em Mercado;Quantidade em Tesouraria;Quantidade Resgatada;Quantidade  Cancelada;Quantidade Convertida no SND;Quantidade Convertida fora do SND;Quantidade Permutada no SND;Quantidade Permutada fora do SND;Unidade Monetária;Valor Nominal na Emissão;Unidade Monetária;Valor Nominal Atual;Data Últ VNA;Índice;Tipo;Critério de Cálculo;Dia de Referência para Índice de Preços;Critério para Índice;Corrige a cada;Percentual Multiplicador/Rentabilidade;Limite da TJLP;Tipo de Tratamento do Limite da TJLP;Juros Critério Antigo do SND;Prêmios Critério Antigo do SND;Amortização - Taxa;Amortização - Cada;Amortização - Unidade;Amortização - Carência;Amortização - Critério;Tipo de Amortização;Juros Critério Novo - Taxa;Juros Critério Novo - Prazo;Juros Critério Novo - Cada;Juros Critério Novo - Unidade;Juros Critério Novo - Carência;Juros Critério Novo - Critério;Juros Critério Novo - Tipo;Prêmio Critério Novo - Taxa;Prêmio Critério Novo - Prazo;Prêmio Critério Novo - Cada;Prêmio Critério Novo - Unidade;Prêmio Critério Novo - Carência;Prêmio Critério Novo - Critério;Prêmio Critério Novo - Tipo;Participação - Taxa;Participação - Cada;Participação - Unidade;Participação - Carência;Participação - Descrição;Rating1;Agência Classificadora;Rating2;Agência Classificadora;Rating3;Agência Classificadora;Banco Mandatário;Agente Fiduciário;Instituição Depositária;Coordenador Líder;CNPJ;Deb Incent (Lei 12431);Escritura Padronizada;Resgate Antecipado
AARJ11;AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A;'ÚNI;'001;ND;Registrado;BRAARJDBS002;DISPENSA ICVM 476/09;15/01/2015;;;08/12/2014;08/12/2021; - - - - - - ;;08/12/2014;16/01/2015;-;AGE;21/11/2014;RCA;21/11/2014;Escritural;Real;Simples;500;0,;0,;500;0;0;0,;0,;0;0,;0;R$;100,000,000,000;R$;100,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;47,619;3;MES;08/12/2016;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;30,000;252;3;MES;08/03/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;ITAU CV S/A;BANCO SANTANDER BRASIL SA;1.96247E+13;N; n ;
ABEV11;AMBEV SA;'ÚNI;'001;ND;Registrado;BRABEVDBS003;DISPENSA ICVM 476/09;30/10/2015;;;30/10/2015;30/10/2021; - - - - - - ;;03/11/2015;30/10/2015;-;RCA;28/08/2015;RCA;14/10/2015;Escritural;Quirografária;Simples;1000;0,;0,;1000;0;0;0,;0,;0;0,;0;R$;1,000,000,000,000;R$;1,000,000,000,000;21/07/2016;PRÉ;  - ;Padrão - SND;;-;;0,00;0,000;-;;;-;-;-;-;-;-;144,760;252;12;MES;30/10/2016;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;SIMPLIFIC PAVARINI DTVM LTDA;ITAU CV S/A;BANCO ITAU-BBA S/A;7.52656E+12;S; n ;
ABMX11;ABIMEX IMPORTACAO E EXPORTACAO S/A;'ÚNI;'001;ND;Registrado;BRABMXDBS002;DISPENSA ICVM 476/09;11/04/2012;;;10/04/2012;10/04/2018; - - - - - - ;;12/04/2012;-;-;AGE;16/03/2012;;;Escritural;Quirografária;Simples;60;0,;0,;60;0;0;0,;0,;0;0,;0;R$;1,000,000,000,000;R$;350,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;50,000;3;MES;10/07/2013;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;13,000;252;1;MES;10/05/2012;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;7.12135E+12;N; n ;
ACDL12;ASCENTY DATA CENTERS LOCACAO E SERVICOS SA;'ÚNI;'002;ND;Registrado;BRASCYDBS013;DISPENSA ICVM 476/09;25/09/2014;;;22/09/2014;22/09/2019; - - - - - - ;;26/09/2014;26/09/2014;-;AGE;08/09/2014;;;Escritural;Quirografária;Simples;35000;0,;0,;35000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;333,300;12;MES;22/09/2017;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;39,500;252;6;MES;22/03/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU CV S/A;BANCO ITAU-BBA S/A;1.37436E+13;N; n ;
ACEC14;ACECO TI S/A;'ÚNI;'004;ND;Registrado;BRACECDBS019;DISPENSA ICVM 476/09;26/06/2014;;;23/06/2014;23/06/2021; - - - - - - ;;27/06/2014;27/06/2014;-;AGE;09/06/2014;;;Escritural;Real;Simples;22000;0,;0,;22000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;-;-;-;-;Percentual variável sobre o valor nominal de emissão em períodos não uniformes;22,500;252;12;MES;23/06/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;OLIVEIRA TRUST DTVM SA;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;4.32094E+13;N; n ;
ACEC15;ACECO TI S/A;'ÚNI;'005;ND;Registrado;BRACECDBS027;DISPENSA ICVM 476/09;22/06/2015;;;23/06/2015;22/07/2016; - - - - - - ;;23/06/2015;23/06/2015;-;AGE;15/06/2015;;;Escritural;Real;Simples;3150;0,;0,;3150;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;-;-;-;-;-;22,500;252;0,;-;22/07/2016;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;OLIVEIRA TRUST DTVM SA;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;4.32094E+13;N; n ;
ACEF11;ACEF SA;'ÚNI;'001;ND;Registrado;BRFCEFDBS003;DISPENSA ICVM 476/09;11/05/2016;;;09/05/2016;22/12/2021; - - - - - - ;;09/05/2016;12/05/2016;-;AGE;19/04/2016;;;Escritural;Real;Simples;122;0,;0,;122;0;0;0,;0,;0;0,;0;R$;1,000,000,000,000;R$;1,000,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;100,000;6;MES;22/06/2018;-;Percentual fixo sobre o valor nominal atualizado em períodos uniformes;28,500;252;6;MES;22/06/2016;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;4.67228E+13;N; n ;
ADHE11;ADHER INVESTIMENTOS S/A;'ÚNI;'001;ND;Registrado;BRADHRDBS000;DISPENSA ICVM 476/09;29/04/2013;;;15/04/2013;15/04/2018; - - - - - - ;;15/04/2013;30/04/2013;-;AGE;03/12/2012;;;Escritural;Real;Simples;7550;0,;0,;0;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;6,939,652,587;21/07/2016;IPCA;Correção Monetária;Padrão - SND;15;-;;0,00;0,000;-;;;-;12;MES;15/04/2015;-;Percentual variável sobre o valor nominal atualizado em períodos uniformes;85,000;252;1;MES;15/04/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;GDC PARTNERS SERVICOS FIDUCIARIOS DISTRIBUIDORA DE TITULOS E VALORES  MOBILIARIO;ITAU CV S/A;POSITIVA CCTVM S/A;1.40408E+13;N; n ;
ADMA11;ADAMI SA - MADEIRAS;'ÚNI;'001;ND;Registrado;BRADMADBS006;DISPENSA ICVM 476/09;01/04/2015;;;27/03/2015;27/03/2020; - - - - - - ;;02/04/2015;02/04/2015;-;AGE;13/02/2015;;;Escritural;Real;Simples;15000;0,;0,;12850;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;8,823,540,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;58,823;3;MES;27/03/2016;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;40,000;252;3;MES;27/06/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU CV S/A;BANCO ITAU-BBA S/A;8.30545E+13;N; n ;
AEGE12;AEGEA INVESTIMENTOS SA;'ÚNI;'002;ND;Registrado;BRAEGEDBS016;DISPENSA ICVM 476/09;14/05/2015;;;30/04/2015;30/04/2021; - - - - - - ;;30/04/2015;15/05/2015;-;AGE;22/04/2015;;;Escritural;Real;Simples;140000;0,;0,;140000;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;1,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;3;MES;30/04/2018;-;Percentual variável sobre o valor nominal de emissão em períodos uniformes;33,000;252;3;MES;30/07/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU CV S/A;HSBC BANK BRASIL S/A - B M;1.53852E+13;N; n ;
AEPS16;ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A;'ÚNI;'006;ND;Registrado;BRALPKDBS035;DISPENSA ICVM 476/09;25/06/2014;;;09/06/2014;09/06/2019; - - - - - - ;;26/06/2014;26/06/2014;-;AGE;19/05/2014;RCA;19/05/2014;Escritural;Real;Simples;14330;0,;0,;14280;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;118,00;0,000;-;;;32,258;1;MES;09/12/2016;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;0,0000;0,;6;MES;09/12/2014;-;Linear;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO SANTANDER BRASIL SA;6.05373E+13;N; n ;
